"customer_id","txn_month","closing_balance"
1,"2020-01",312
1,"2020-02",312
1,"2020-03",-640
1,"2020-04",-640
2,"2020-01",549
2,"2020-02",549
2,"2020-03",610
2,"2020-04",610
3,"2020-01",144
3,"2020-02",-821
3,"2020-03",-1222
3,"2020-04",-729
4,"2020-01",848
4,"2020-02",848
4,"2020-03",655
4,"2020-04",655
5,"2020-01",954
5,"2020-02",954
5,"2020-03",-1923
5,"2020-04",-2413
6,"2020-01",733
6,"2020-02",-52
6,"2020-03",340
6,"2020-04",340
7,"2020-01",964
7,"2020-02",3173
7,"2020-03",2533
7,"2020-04",2623
8,"2020-01",587
8,"2020-02",407
8,"2020-03",-57
8,"2020-04",-1029
9,"2020-01",849
9,"2020-02",654
9,"2020-03",1584
9,"2020-04",862
10,"2020-01",-1622
10,"2020-02",-1342
10,"2020-03",-2753
10,"2020-04",-5090
11,"2020-01",-1744
11,"2020-02",-2469
11,"2020-03",-2088
11,"2020-04",-2416
12,"2020-01",92
12,"2020-02",92
12,"2020-03",295
12,"2020-04",295
13,"2020-01",780
13,"2020-02",1279
13,"2020-03",1405
13,"2020-04",1405
14,"2020-01",205
14,"2020-02",821
14,"2020-03",821
14,"2020-04",989
15,"2020-01",379
15,"2020-02",379
15,"2020-03",379
15,"2020-04",1102
16,"2020-01",-1341
16,"2020-02",-2893
16,"2020-03",-4284
16,"2020-04",-3422
17,"2020-01",465
17,"2020-02",-892
17,"2020-03",-892
17,"2020-04",-892
18,"2020-01",757
18,"2020-02",-424
18,"2020-03",-842
18,"2020-04",-815
19,"2020-01",-12
19,"2020-02",-251
19,"2020-03",-301
19,"2020-04",42
20,"2020-01",465
20,"2020-02",519
20,"2020-03",776
20,"2020-04",776
21,"2020-01",-204
21,"2020-02",-764
21,"2020-03",-1874
21,"2020-04",-3253
22,"2020-01",235
22,"2020-02",-1039
22,"2020-03",-149
22,"2020-04",-1358
23,"2020-01",94
23,"2020-02",-314
23,"2020-03",-156
23,"2020-04",-678
24,"2020-01",615
24,"2020-02",813
24,"2020-03",254
24,"2020-04",254
25,"2020-01",174
25,"2020-02",-400
25,"2020-03",-1220
25,"2020-04",-304
26,"2020-01",638
26,"2020-02",-31
26,"2020-03",-622
26,"2020-04",-1870
27,"2020-01",-1189
27,"2020-02",-713
27,"2020-03",-3116
27,"2020-04",-3116
28,"2020-01",451
28,"2020-02",-818
28,"2020-03",-1228
28,"2020-04",272
29,"2020-01",-138
29,"2020-02",-76
29,"2020-03",831
29,"2020-04",-548
30,"2020-01",33
30,"2020-02",-431
30,"2020-03",-431
30,"2020-04",508
31,"2020-01",83
31,"2020-02",83
31,"2020-03",-141
31,"2020-04",-141
32,"2020-01",-89
32,"2020-02",376
32,"2020-03",-843
32,"2020-04",-1001
33,"2020-01",473
33,"2020-02",-116
33,"2020-03",1225
