"customer_id","txn_date","txn_type","txn_amount","running_balance"
1,"2020-01-02","deposit",312,312
1,"2020-03-05","purchase",612,-300
1,"2020-03-17","deposit",324,24
1,"2020-03-19","purchase",664,-640
2,"2020-01-03","deposit",549,549
2,"2020-03-24","deposit",61,610
3,"2020-01-27","deposit",144,144
3,"2020-02-22","purchase",965,-821
3,"2020-03-05","withdrawal",213,-1034
3,"2020-03-19","withdrawal",188,-1222
3,"2020-04-12","deposit",493,-729
4,"2020-01-07","deposit",458,458
4,"2020-01-21","deposit",390,848
4,"2020-03-25","purchase",193,655
5,"2020-01-15","deposit",974,974
5,"2020-01-25","deposit",806,1780
5,"2020-01-31","withdrawal",826,954
5,"2020-03-02","purchase",886,68
5,"2020-03-19","deposit",718,786
5,"2020-03-26","withdrawal",786,0
5,"2020-03-27","withdrawal",700,-700
5,"2020-03-27","deposit",412,-288
5,"2020-03-29","purchase",852,-1140
5,"2020-03-31","purchase",783,-1923
5,"2020-04-02","withdrawal",490,-2413
6,"2020-01-11","deposit",831,831
6,"2020-01-14","purchase",11,820
6,"2020-01-14","purchase",40,780
6,"2020-01-18","purchase",66,714
6,"2020-01-25","deposit",796,1510
6,"2020-01-28","purchase",777,733
6,"2020-02-10","purchase",962,-229
6,"2020-02-24","deposit",240,11
6,"2020-02-27","deposit",106,117
6,"2020-02-27","withdrawal",169,-52
6,"2020-03-01","withdrawal",500,-552
6,"2020-03-03","deposit",582,30
6,"2020-03-04","deposit",250,280
6,"2020-03-10","deposit",619,899
6,"2020-03-15","deposit",763,1662
6,"2020-03-16","deposit",535,2197
6,"2020-03-23","purchase",968,1229
6,"2020-03-26","withdrawal",484,745
6,"2020-03-31","withdrawal",405,340
7,"2020-01-20","deposit",964,964
7,"2020-02-03","purchase",77,887
7,"2020-02-06","deposit",688,1575
7,"2020-02-11","deposit",93,1668
7,"2020-02-22","deposit",617,2285
7,"2020-02-29","deposit",888,3173
7,"2020-03-03","purchase",328,2845
7,"2020-03-04","withdrawal",29,2816
7,"2020-03-10","deposit",723,3539
7,"2020-03-16","purchase",962,2577
7,"2020-03-22","withdrawal",44,2533
7,"2020-04-04","withdrawal",525,2008
7,"2020-04-17","deposit",615,2623
8,"2020-01-15","deposit",207,207
8,"2020-01-28","purchase",566,-359
8,"2020-01-30","deposit",946,587
8,"2020-02-06","withdrawal",180,407
8,"2020-03-05","deposit",956,1363
8,"2020-03-27","withdrawal",775,588
8,"2020-03-28","withdrawal",178,410
8,"2020-03-30","purchase",467,-57
8,"2020-04-11","purchase",323,-380
8,"2020-04-13","purchase",649,-1029
9,"2020-01-21","deposit",669,669
