"customer_id","min_running_balance","avg_running_balance","max_running_balance"
1,-640,-151.00,312
2,549,579.50,610
3,-1222,-732.40,144
4,458,653.67,848
5,-2413,-172.91,1780
6,-552,635.00,2197
7,887,2268.69,3539
8,-1029,173.70,1363
9,-91,1021.70,2030
10,-5090,-2158.33,556
11,-2529,-1818.88,60
12,-647,-14.50,295
13,379,843.38,1444
14,205,898.00,1577
15,379,740.50,1102
16,-4284,-1776.12,421
17,-892,-292.33,465
18,-1216,-539.75,757
19,-301,-41.43,258
20,465,783.29,1017
21,-3253,-982.33,326
22,-1444,-235.53,794
23,-678,-33.33,520
24,-39,411.80,813
25,-1220,-282.64,433
26,-1870,-165.75,878
27,-3116,-1351.60,809
28,-1228,-424.88,451
29,-910,80.29,978
30,-431,17.75,508
31,-1093,-328.75,83
32,-1001,63.92,1083
33,-697,248.00,1225
34,-512,97.00,976
35,-2000,-298.23,1249
36,10,626.10,1601
37,-1590,-116.50,1739
38,-1295,-335.70,842
39,996,2201.35,2924
40,-208,560.09,1261
41,-46,2132.94,3577
42,-1886,94.86,1143
43,-406,307.82,869
44,-690,-244.25,71
45,-1152,472.39,1721
46,-805,363.77,1489
47,-3169,-1569.65,203
48,-3745,-2441.95,427
49,-2556,-773.26,432
50,-713,106.86,931
51,-754,316.55,1370
52,908,1654.75,2612
53,-956,-274.63,227
54,138,1007.25,1658
55,-1146,-392.18,380
56,-3866,-1722.37,864
57,-866,171.33,907
58,-1580,350.24,2104
59,798,1526.71,2190
60,-1169,88.25,856
61,-2567,-335.14,1220
62,-763,-252.33,218
63,-3946,-1250.77,234
64,245,1424.67,2381
65,-1381,-188.86,690
66,-517,1074.70,2048
67,79,1820.60,3438
68,-690,-158.29,574
69,-3085,-1468.27,1025
70,-1814,-346.07,786
71,-1265,-465.00,128
72,-2327,-587.09,1186
73,442,477.50,513
74,229,273.50,318
75,234,264.00,294
76,-827,908.06,2774
77,120,748.80,1209
78,-1376,-543.00,986
79,521,1041.33,1380
80,199,834.00,1190
81,-1984,-818.50,403
82,-4816,-2889.19,363
83,-1056,-119.60,1817
84,609,788.50,968
85,467,729.67,1076
86,-1488,-234.89,872
87,-1563,-651.43,777
88,-820,144.40,908
89,-3147,-1502.56,210
90,-1846,200.40,2062
91,-2660,-1026.68,856
92,142,687.33,985
93,-318,761.31,2096
94,-2232,-769.13,902
95,-1013,811.33,2953
96,262,1099.83,1714
97,-2483,-25.31,1673
98,-386,205.10,750
99,160,651.50,949
100,-1632,-251.11,1081
101,-2673,-1492.71,136
102,186,1148.57,2449
103,-2257,-525.46,752
104,26,775.44,1190
105,-620,71.45,1014
106,-1462,268.36,1392
107,-690,-98.67,538
108,1,1551.30,2680
109,429,1507.25,2491
110,-1417,678.85,2233
111,99,221.00,463
112,-116,951.00,1969
113,-1140,-443.07,62
114,169,685.00,1143
115,-845,37.20,884
116,53,320.80,543
117,-706,33.86,702
118,-1650,-661.25,683
119,-907,-445.00,62
120,-1694,792.47,2838
121,-425,967.73,2320
122,164,1050.64,2204
123,-2663,-1330.31,423
124,122,1096.33,2132
125,-2544,-1517.08,637
126,-2822,-1091.33,120
127,217,864.00,1672
128,-1097,-22.25,882
129,-2007,-362.14,568
130,-2131,-600.27,557
131,-1702,-258.05,1330
132,-5585,-2903.40,14
133,-368,-148.33,279
134,358,2324.72,3395
135,104,1053.73,1899
136,-133,586.58,966
137,-356,349.75,881
138,-775,630.93,2135
139,-345,248.40,1227
140,-38,1195.71,2345
141,-369,988.89,2538
142,117,588.11,1378
143,-2457,76.31,1649
144,-4625,-2634.00,559
145,-4634,-2419.89,365
146,-4768,-2186.21,657
147,600,1138.25,1698
148,-2815,-1840.13,88
149,-231,398.92,1385
150,-2429,-1217.29,69
151,-887,188.78,1367
152,917,2037.33,3233
153,-2437,-1156.45,754
154,-2555,-1362.43,120
155,-4530,-2437.60,712
156,82,197.00,312
157,-611,921.50,2766
158,-1716,-616.55,533
159,-301,267.00,669
160,-702,156.36,1577
161,-1977,-703.71,526
162,123,625.67,970
163,-4664,-2069.21,523
164,548,752.50,957
165,-4031,-1943.64,479
166,957,1484.67,1831
167,-1277,193.80,1354
168,-801,-251.00,301
169,-1226,-317.57,906
170,-1146,-117.08,1127
171,-2366,-1124.33,471
172,-1038,-293.00,548
173,121,1114.80,1784
174,-2100,-337.18,1142
175,-2719,-675.82,963
176,-1067,-26.75,655
177,-2001,-258.28,800
178,-1983,-2.21,800
179,-7953,-3664.09,19
180,-3175,-1306.83,670
181,-2640,-638.39,988
182,-1082,-471.50,97
183,-6560,-3426.58,452
184,-3178,-852.00,1424
185,-2237,-502.63,1412
186,166,978.16,1930
187,-3060,-1642.55,-211
188,-475,270.47,1084
189,-4007,-1269.20,979
190,10,436.80,1178
191,769,1232.83,1775
192,-1633,764.29,3572
193,486,587.50,689
194,-2984,-1275.39,178
195,406,447.50,489
196,222,918.20,1382
197,-1000,1037.48,3773
198,-1253,118.67,1199
199,-675,-3.50,530
200,187,1670.50,3161
201,-383,665.06,2330
202,-2415,-1044.53,446
203,638,2739.23,4069
204,749,1317.00,1893
205,-1020,368.00,1798
206,-5374,-2113.40,811
207,-2191,-1155.31,322
208,406,768.00,1361
209,-2351,-692.21,701
210,-2629,-1128.30,811
211,-602,1241.26,3106
212,-336,879.82,3529
213,-1717,-703.38,421
214,-1949,-494.79,802
215,414,1175.78,1792
216,-110,1860.58,4388
217,9,1259.85,2048
218,-2369,-662.68,1167
219,-1459,-121.00,1146
220,-1122,326.50,1293
221,147,964.91,1892
222,311,1309.70,2467
223,-2435,-966.65,1244
224,-1581,-459.36,487
225,-89,356.33,769
226,-2331,-934.73,854
227,-3161,-1355.82,468
228,-1724,-674.00,294
229,180,780.50,1618
230,391,1251.78,2428
231,-2475,-983.69,122
232,104,949.06,2227
233,187,2115.80,3742
234,-2276,-581.86,815
235,-1963,-606.11,723
236,-100,1035.83,2242
237,-174,879.15,2074
238,-479,760.86,1387
239,-618,578.23,1871
240,147,1789.06,3432
241,20,90.50,161
242,-4064,-1321.14,1143
243,-368,368.17,979
244,508,1199.57,1930
245,-1791,-493.05,396
246,-2132,73.30,1493
247,260,681.43,1331
248,-271,850.10,1799
249,336,765.33,1065
250,-1555,-132.50,844
251,-1901,-716.71,1276
252,133,468.00,982
253,-1704,-783.08,5
254,-3665,-1547.86,856
255,-548,67.50,563
256,150,1157.58,1964
257,-2268,-805.00,493
258,-2893,-1514.20,590
259,-1458,131.44,1531
260,899,1396.50,1909
261,-329,841.57,1747
262,-3018,-1899.41,83
263,112,398.00,770
264,695,1837.27,3780
265,-2592,-849.58,791
266,280,862.20,1455
267,-5236,-2345.39,31
268,-218,971.74,2632
269,-4009,-1945.68,654
270,-442,857.85,1804
271,-1867,-507.80,318
272,-1769,-682.78,706
273,-178,650.10,1627
274,-1729,-397.53,801
275,-4512,-1927.20,211
276,-1944,-487.13,926
277,615,1224.80,1865
278,682,1997.00,3554
279,98,2583.75,4183
280,-587,-129.18,664
281,-140,1353.32,3316
282,-1661,-876.90,74
283,-7145,-2623.95,947
284,-4470,-2354.27,795
285,360,1227.67,1965
286,171,174.00,177
287,-406,1049.36,2356
288,-867,340.44,1344
289,-1462,-162.29,1526
290,21,1031.69,2061
291,241,660.00,938
292,-4916,-3036.20,136
293,-2569,-1114.92,541
294,-183,547.83,1557
295,-177,831.00,1483
296,191,1049.91,2220
297,85,962.06,1442
298,-1001,23.00,1489
299,-508,710.80,2127
300,-3276,-1509.11,672
301,-3636,-1939.82,645
302,-2937,-1948.00,-719
303,-1533,103.00,1321
304,-3009,-1400.65,848
305,-56,297.67,962
306,-1279,494.12,1787
307,-696,300.18,1091
308,-561,410.18,1329
309,-2404,-1224.33,463
310,156,1218.63,3066
311,-1055,-111.18,1006
312,-2318,-624.78,656
313,-1311,293.64,1082
314,-633,-79.44,494
315,911,1460.50,2287
316,-3299,-1711.00,184
317,869,1032.00,1232
318,-1648,-456.80,720
319,-1084,-481.17,83
320,725,2333.07,3548
321,-213,95.00,572
322,965,2477.09,3452
323,-5477,-2471.94,1323
324,203,1070.00,2139
325,-1878,-1051.67,60
326,-211,228.00,478
327,-323,211.83,919
328,-5190,-3074.11,393
329,-626,489.58,1402
330,-1474,770.53,1686
331,-1129,-106.69,1009
332,-888,275.53,1468
333,-481,428.36,1453
334,933,1986.38,2972
335,-995,110.50,787
336,-595,153.60,599
337,-264,813.90,1611
338,-419,1148.38,2767
339,-780,480.53,1568
340,-1103,42.37,1390
341,-2301,-1123.56,422
342,-1232,60.36,1257
343,403,1424.62,2114
344,-1391,169.43,1578
345,-2288,-956.43,-100
346,-3802,-1588.14,916
347,-2343,-929.50,626
348,-771,110.78,893
349,-1062,29.38,1964
350,-1233,854.78,2200
351,-1860,-323.33,1322
352,-2648,-1609.33,416
353,-2557,-998.80,57
354,158,490.00,822
355,-1767,-472.29,522
356,-6882,-3322.56,568
357,-188,565.33,878
358,-1445,-672.56,129
359,10,1856.36,3494
360,-1786,-584.61,857
361,-457,276.00,772
362,-564,209.00,615
363,-3065,-939.54,977
364,-999,154.28,1710
365,-760,158.21,1002
366,-1305,287.29,2092
367,-3101,-1460.40,239
368,-3637,-1772.70,100
369,266,1148.00,2195
370,-3223,-1492.56,363
371,-1243,-430.00,528
372,-1916,990.29,3721
373,277,1110.14,2326
374,-1292,-643.36,349
375,-1291,16.13,792
376,75,1630.90,3431
377,-785,133.13,736
378,7,1170.08,2424
379,-1206,2.00,569
380,-3662,-1519.44,487
381,-1041,-98.44,992
382,-2019,-895.57,140
383,-617,497.91,1473
384,-3176,-1656.00,352
385,-4861,-2219.18,585
386,-3837,-744.57,1108
387,180,2016.29,3359
388,833,1539.43,2243
389,-220,713.08,2005
390,-2801,-1693.93,102
391,-577,448.92,1392
392,816,1346.89,2034
393,20,840.94,1856
394,908,2060.88,3268
395,-1782,-812.55,40
396,-3011,-986.06,942
397,973,1392.50,1782
398,-4910,-2077.75,196
399,-1717,-659.78,593
400,-482,248.71,1338
401,-880,47.20,956
402,308,1053.29,1644
403,172,540.57,1047
404,-2484,-326.48,1021
405,-7070,-3487.81,413
406,795,1824.60,2621
407,-3275,-828.00,804
408,-145,259.25,800
409,155,1622.00,2623
410,-409,303.40,1025
411,-981,-250.00,551
412,139,462.50,722
413,134,874.44,1493
414,31,771.67,1918
415,-4287,-1444.14,718
416,-44,2473.26,4333
417,-1847,62.60,2022
418,-2030,-690.89,856
419,-1280,24.80,1193
420,-2892,-1795.53,-280
421,-741,-327.88,312
422,-3357,-1386.95,356
423,-636,127.00,1321
424,-1580,-180.95,995
425,-721,-22.31,771
426,-5352,-3165.24,282
427,-316,787.42,2016
428,-260,363.17,1217
429,-901,149.25,785
430,-1326,-89.57,829
431,-1139,-294.75,259
432,-817,1076.83,2682
433,142,872.43,1516
434,-2654,-566.95,1123
435,-1982,-625.45,627
436,-676,265.86,917
437,-1623,-732.56,935
438,261,1471.00,3086
439,-486,-29.75,430
440,-123,257.80,731
441,-998,-89.86,1130
442,-5843,-3218.67,553
443,-512,146.22,760
444,-1178,-196.20,669
445,26,828.18,1835
446,-425,84.75,412
447,-1314,383.92,1841
448,-2478,-961.43,1360
449,-4674,-2394.15,352
450,-737,336.86,1407
451,-1357,-546.50,910
452,441,1503.00,2197
453,-722,228.36,811
454,11,1496.79,2984
455,-558,-153.33,329
456,-286,904.74,2180
457,-718,-71.10,657
458,-653,-42.67,715
459,-2912,-1320.31,857
460,-2152,-592.56,632
461,840,2520.00,3431
462,-2535,-295.76,1548
463,-348,473.54,1166
464,-1494,-177.00,953
465,189,1131.38,1989
466,-2113,-1075.57,223
467,738,2576.41,4338
468,-917,-173.29,939
469,-1537,753.13,2161
470,-311,336.00,942
471,781,1214.60,1887
472,-1343,-194.14,811
473,-5772,-2138.00,1566
474,-259,269.33,928
475,-5230,-1996.40,1265
476,-5901,-2361.30,392
477,-6538,-3220.47,101
478,-712,1280.42,2767
479,-327,168.67,513
480,-235,56.00,522
481,-4241,-2461.50,42
482,-1333,-297.50,831
483,-189,1285.00,2803
484,815,1160.67,1796
485,16,1294.00,2384
486,-3108,-1204.00,412
487,-1310,-373.67,435
488,-412,-49.50,304
489,498,3156.76,5338
490,24,338.75,718
491,-2319,-492.14,442
492,-2133,-1101.43,812
493,-824,-12.14,845
494,243,782.00,1447
495,-1438,-484.43,433
496,-3076,-1795.50,47
497,463,1553.33,2681
498,774,2298.00,3689
499,-558,478.82,1523
500,458,1830.25,2981
