"table_schema","table_name","column_name","data_type","character_maximum_length","is_nullable"
"data_bank","customer_nodes","customer_id","integer",NULL,"YES"
"data_bank","customer_nodes","region_id","integer",NULL,"YES"
"data_bank","customer_nodes","node_id","integer",NULL,"YES"
"data_bank","customer_nodes","start_date","date",NULL,"YES"
"data_bank","customer_nodes","end_date","date",NULL,"YES"
"data_bank","customer_transactions","customer_id","integer",NULL,"YES"
"data_bank","customer_transactions","txn_date","date",NULL,"YES"
"data_bank","customer_transactions","txn_type","character varying",10,"YES"
"data_bank","customer_transactions","txn_amount","integer",NULL,"YES"
"data_bank","regions","region_id","integer",NULL,"YES"
"data_bank","regions","region_name","character varying",9,"YES"
